id,course_id,course_name,source_id,resource_id,source_media_path,file,file_size,sha256,owner_id,owner_entity_type,owner_resolution,layout
C14:IMG:2363,C14,软件工程,2363,rId20,media/image20.png,media/C14/2363_image20.png,23681,321f09423f0c5f48d53975288151ac88909b3d674b38817ad5a26d28bb5478ce,C14:K:1330,knowledge,nearest_ancestor,"{""x"":93.5,""y"":43.75,""width"":173.0,""height"":82.0}"
C14:IMG:2364,C14,软件工程,2364,rId21,media/image21.png,media/C14/2364_image21.png,47843,99c0a97252e941759c9521b7075736d608b6a2cf1bf6d621b8caa6dff87b5d5f,C14:K:1340,knowledge,nearest_ancestor,"{""x"":100.0,""y"":91.25,""width"":186.0,""height"":177.0}"
C14:IMG:2365,C14,软件工程,2365,rId22,media/image22.png,media/C14/2365_image22.png,35376,50fca06a379132ed7c4bb3fecc7d9aa4ecb3d123365158b0197d27600546e3d4,C14:K:1350,knowledge,nearest_ancestor,"{""x"":101.5,""y"":80.75,""width"":189.0,""height"":156.0}"
C15:IMG:1812,C15,数据挖掘,1812,rId1,media/image1.png,media/C15/1812_image1.png,60082,04a8c28fecc4113bf797997654a73bc1962c613a9bac8ee3be93623f2d955391,C15:K:226,knowledge,nearest_ancestor,"{""x"":161.901,""y"":94.0729,""width"":309.802,""height"":182.646}"
C15:IMG:1813,C15,数据挖掘,1813,rId2,media/image2.png,media/C15/1813_image2.png,119547,18506fbf991b6eaf718e064be94e163532c76b7116e0f19502ee3912454dc881,C15:ANCH:238,structural_anchor,direct,"{""x"":190.567,""y"":86.3203,""width"":367.135,""height"":167.141}"
C15:IMG:1814,C15,数据挖掘,1814,rId3,media/image3.png,media/C15/1814_image3.png,48483,de3dedad804e62bce51e10381239d54a845638556bfafab92e92f7cc2024bccf,C15:K:386,knowledge,nearest_ancestor,"{""x"":221.5,""y"":49.25,""width"":429.0,""height"":93.0}"
C15:IMG:1815,C15,数据挖掘,1815,rId4,media/image4.png,media/C15/1815_image4.png,157867,c8a2621c7ca9ff3421c0776d65d726d6744a25213d03daecb9484f135fad15ef,C15:K:410,knowledge,nearest_ancestor,"{""x"":174.0,""y"":62.75,""width"":334.0,""height"":120.0}"
C15:IMG:1816,C15,数据挖掘,1816,rId5,media/image5.png,media/C15/1816_image5.png,66251,f0831ca67c5d0c6f79563eed967e7dc9959a5b0942644cbf24349cf2a1939a04,C15:K:426,knowledge,nearest_ancestor,"{""x"":115.5,""y"":94.75,""width"":217.0,""height"":184.0}"
C15:IMG:1817,C15,数据挖掘,1817,rId6,media/image6.png,media/C15/1817_image6.png,172902,84dc6dab08851b78cf978114779d4f31dfa73e70a74a6fc5abde28d31f966cc5,C15:K:486,knowledge,nearest_ancestor,"{""x"":186.5,""y"":58.25,""width"":359.0,""height"":111.0}"
C15:IMG:1818,C15,数据挖掘,1818,rId7,media/image7.png,media/C15/1818_image7.png,36705,c73cedcabc11f865f15cbe2e358fd1e4c9225470d5a2eb1a4bd7a4ab9174b004,C15:K:494,knowledge,nearest_ancestor,"{""x"":186.5,""y"":58.25,""width"":359.0,""height"":111.0}"
C15:IMG:1819,C15,数据挖掘,1819,rId8,media/image8.png,media/C15/1819_image8.png,21072,c0f340b937bd41733c21f3abbff268054282cddd6db22fa9c2c764116ac2c55f,C15:K:500,knowledge,nearest_ancestor,"{""x"":131.5,""y"":52.25,""width"":249.0,""height"":99.0}"
C15:IMG:1820,C15,数据挖掘,1820,rId9,media/image9.png,media/C15/1820_image9.png,93969,78cb2ff6294661238d7318d2555d9a3eb95420dcd97328291e9586ea6af20061,C15:K:504,knowledge,nearest_ancestor,"{""x"":132.0,""y"":82.25,""width"":250.0,""height"":159.0}"
C15:IMG:1821,C15,数据挖掘,1821,rId10,media/image10.png,media/C15/1821_image10.png,55656,7ffb1e82fe8875aa0ca0bb30f84ebbd21abd6bbfe891bee2a3936499abc00376,C15:K:510,knowledge,nearest_ancestor,"{""x"":266.5,""y"":41.25,""width"":519.0,""height"":77.0}"
C15:IMG:1822,C15,数据挖掘,1822,rId11,media/image11.png,media/C15/1822_image11.png,75002,91c2c54baf5b65c7dcf2ad3d4d3b0e9f7f6d248890b2fe8ebd6debca17363cfe,C15:K:514,knowledge,nearest_ancestor,"{""x"":271.5,""y"":40.25,""width"":529.0,""height"":75.0}"
C15:IMG:1823,C15,数据挖掘,1823,rId12,media/image12.png,media/C15/1823_image12.png,51012,f5090101b375fa12a559d4b52756aa31dc1e4084b5f450c9f9964ce164a3fef0,C15:K:518,knowledge,nearest_ancestor,"{""x"":260.0,""y"":42.25,""width"":506.0,""height"":79.0}"
C15:IMG:1824,C15,数据挖掘,1824,rId13,media/image13.png,media/C15/1824_image13.png,72830,290e6858848d03ee203f5ebe80f96cf60c4f5c30ebc844c217d6edb729903ddd,C15:K:590,knowledge,nearest_ancestor,"{""x"":237.0,""y"":46.25,""width"":460.0,""height"":87.0}"
C15:IMG:1825,C15,数据挖掘,1825,rId14,media/image14.png,media/C15/1825_image14.png,95625,c2634906c61531d56b7d1b91f379f059ddf100c5cdcfd236991a3af9e022fdfa,C15:K:604,knowledge,nearest_ancestor,"{""x"":258.5,""y"":42.25,""width"":503.0,""height"":79.0}"
C15:IMG:1826,C15,数据挖掘,1826,rId15,media/image15.png,media/C15/1826_image15.png,73773,48872ffeaacce5340a9aeb14e65e0120bdfd67bb7175f4da3dea9a5de88ae550,C15:K:708,knowledge,nearest_ancestor,"{""x"":207.5,""y"":52.25,""width"":401.0,""height"":99.0}"
C15:IMG:1827,C15,数据挖掘,1827,rId16,media/image16.png,media/C15/1827_image16.png,37680,d9d4c69656a7648901eb368a30dd6cd9359a07aa46dacdf52f90cc1bfbce68d6,C15:K:714,knowledge,nearest_ancestor,"{""x"":133.0,""y"":71.75,""width"":252.0,""height"":138.0}"
C15:IMG:1828,C15,数据挖掘,1828,rId17,media/image17.png,media/C15/1828_image17.png,15052,42c4bebe1bcafd4f6eaa2ffd917872eddf69c9f865857eb3caaf55a6e52ccbce,C15:K:780,knowledge,nearest_ancestor,"{""x"":139.5,""y"":33.75,""width"":265.0,""height"":62.0}"
C15:IMG:1829,C15,数据挖掘,1829,rId18,media/image18.png,media/C15/1829_image18.png,42542,0239231637ebffca29ef9ede9a4b0ebe0dc88037ed07759d8acbb3d6cf323467,C15:K:790,knowledge,nearest_ancestor,"{""x"":238.0,""y"":45.75,""width"":462.0,""height"":86.0}"
C15:IMG:1830,C15,数据挖掘,1830,rId19,media/image19.png,media/C15/1830_image19.png,18939,03d120a0a7420e6cb27c74809dd727a1539f5418dbfc7cf91c9877e5ee608073,C15:K:804,knowledge,nearest_ancestor,"{""x"":117.5,""y"":38.75,""width"":221.0,""height"":72.0}"
C15:IMG:1831,C15,数据挖掘,1831,rId20,media/image20.png,media/C15/1831_image20.png,15843,69bcf018f153fad126a71f040d11b7e05539731d86ae7c0716613bf671fe9608,C15:K:814,knowledge,nearest_ancestor,"{""x"":116.0,""y"":30.75,""width"":218.0,""height"":56.0}"
C15:IMG:1832,C15,数据挖掘,1832,rId21,media/image21.png,media/C15/1832_image21.png,21218,b5bc439b57146636217d32648800beda85e0e50e7f870632db39056fa19953d5,C15:K:824,knowledge,nearest_ancestor,"{""x"":114.5,""y"":38.75,""width"":215.0,""height"":72.0}"
C15:IMG:1833,C15,数据挖掘,1833,rId22,media/image22.png,media/C15/1833_image22.png,45442,cdf67bbb298e20aa11d4919f81029a29f881de6278b2ccd87e5ac36fe7b16a7c,C15:K:830,knowledge,nearest_ancestor,"{""x"":204.0,""y"":51.75,""width"":394.0,""height"":98.0}"
C15:IMG:1835,C15,数据挖掘,1835,rId23,media/image23.png,media/C15/1835_image23.png,23670,eed35087c35ea7de9254fa4458484b8ca17b0743341e55d6066fec46d75073ec,C15:K:838,knowledge,nearest_ancestor,"{""x"":133.0,""y"":54.25,""width"":252.0,""height"":103.0}"
C15:IMG:1836,C15,数据挖掘,1836,rId24,media/image24.png,media/C15/1836_image24.png,11147,ebadc27518c8bb121a02031349133bd6eb4029ba3c4f1d59896adc22242ab348,C15:K:852,knowledge,nearest_ancestor,"{""x"":46.5,""y"":57.25,""width"":79.0,""height"":109.0}"
C15:IMG:1837,C15,数据挖掘,1837,rId25,media/image25.png,media/C15/1837_image25.png,33344,7f10fad247c836dacbf7cfa600fb88b7f855da1a867a40e712fae6ae9dff2501,C15:K:852,knowledge,nearest_ancestor,"{""x"":115.0,""y"":70.25,""width"":216.0,""height"":135.0}"
C15:IMG:1838,C15,数据挖掘,1838,rId26,media/image26.png,media/C15/1838_image26.png,19423,444dfb2d54ec5b39b00e85f2bcc0dfc1926a1cb149b0b3490955ef3f2d4051fc,C15:K:866,knowledge,nearest_ancestor,"{""x"":192.0,""y"":24.25,""width"":370.0,""height"":43.0}"
C15:IMG:1839,C15,数据挖掘,1839,rId27,media/image27.png,media/C15/1839_image27.png,26986,1d7a79533739ba0ee0493304b95996b8cd1631382e1c6b86dcf282eec83a9654,C15:K:876,knowledge,nearest_ancestor,"{""x"":216.5,""y"":42.25,""width"":419.0,""height"":79.0}"
C15:IMG:1840,C15,数据挖掘,1840,rId28,media/image28.png,media/C15/1840_image28.png,64783,bb2c0125ee31be13870e90a6b9de4a1bc67beddcf1f42b90a1b60b766d48668f,C15:K:902,knowledge,nearest_ancestor,"{""x"":266.0,""y"":41.25,""width"":518.0,""height"":77.0}"
C15:IMG:1841,C15,数据挖掘,1841,rId29,media/image29.png,media/C15/1841_image29.png,65117,4deda8c41cde45d873bb37575cd7c698959dc0143a5605cf92c7a77d7af5298a,C15:K:906,knowledge,nearest_ancestor,"{""x"":272.5,""y"":40.25,""width"":531.0,""height"":75.0}"
C15:IMG:1842,C15,数据挖掘,1842,rId30,media/image30.png,media/C15/1842_image30.png,323104,5eecd41c1bbca6b415a6fcbd6ddd3062ebe95c818430c3ed64d321d41337caf9,C15:K:962,knowledge,nearest_ancestor,"{""x"":133.0,""y"":82.25,""width"":252.0,""height"":159.0}"
C15:IMG:1843,C15,数据挖掘,1843,rId31,media/image31.png,media/C15/1843_image31.png,99270,455cbe84d03396f4179b890369844852f482ffa3d3857f3f5148e991e5a8d966,C15:K:962,knowledge,nearest_ancestor,"{""x"":104.5,""y"":105.25,""width"":195.0,""height"":205.0}"
C15:IMG:1844,C15,数据挖掘,1844,rId32,media/image32.png,media/C15/1844_image32.png,361996,2747c7187b57d01028d472817ba5cf626faf03f8bd311ed4c589ff10b0807160,C15:K:962,knowledge,nearest_ancestor,"{""x"":154.5,""y"":70.25,""width"":295.0,""height"":135.0}"
C15:IMG:1845,C15,数据挖掘,1845,rId33,media/image33.png,media/C15/1845_image33.png,23339,cc560f4aad60837de4d8b093130b436d09bf716c8424a15276f1f4b04a044ae2,C15:K:994,knowledge,nearest_ancestor,"{""x"":184.0,""y"":28.75,""width"":354.0,""height"":52.0}"
C15:IMG:1846,C15,数据挖掘,1846,rId34,media/image34.png,media/C15/1846_image34.png,35690,c072ed5691371727c3616d0fcb7ae238bf575148ef8d47d5ebe0b99bc3169e48,C15:K:1000,knowledge,nearest_ancestor,"{""x"":233.5,""y"":34.25,""width"":453.0,""height"":63.0}"
C15:IMG:1847,C15,数据挖掘,1847,rId35,media/image35.png,media/C15/1847_image35.png,36525,5b95db21b785abf440dcd6229491ad854b5fd85c3a5282aaa1de0647835d7b1b,C15:K:1006,knowledge,direct,"{""x"":231.0,""y"":36.75,""width"":448.0,""height"":68.0}"
C15:IMG:1848,C15,数据挖掘,1848,rId36,media/image36.png,media/C15/1848_image36.png,25599,0e41c9e03149d619f42fd21ee36c9273dba249b601ec45e01ce668bad4693edc,C15:K:1010,knowledge,nearest_ancestor,"{""x"":154.5,""y"":38.25,""width"":295.0,""height"":71.0}"
C15:IMG:1849,C15,数据挖掘,1849,rId37,media/image37.png,media/C15/1849_image37.png,43388,e37be3c15858ac8f3c13f1e543253d2918a6190979dd329e4787cec858a47257,C15:K:1010,knowledge,nearest_ancestor,"{""x"":197.5,""y"":55.25,""width"":381.0,""height"":105.0}"
C15:IMG:1850,C15,数据挖掘,1850,rId38,media/image38.png,media/C15/1850_image38.png,26711,d743efe5484af09216322ee583b3351148c1b368953cb2f69e6d699989f80e56,C15:K:1036,knowledge,nearest_ancestor,"{""x"":175.0,""y"":42.25,""width"":336.0,""height"":79.0}"
C15:IMG:1851,C15,数据挖掘,1851,rId39,media/image39.png,media/C15/1851_image39.png,48660,8edbaf57b29f48e10c25b2b72c3bd8e0414c55239fc69582e9bb224c79574741,C15:K:1036,knowledge,nearest_ancestor,"{""x"":269.5,""y"":40.25,""width"":525.0,""height"":75.0}"
C15:IMG:1852,C15,数据挖掘,1852,rId40,media/image40.png,media/C15/1852_image40.png,62305,37de80186a804689f21512206b256e8e17cb4fc7962ba261488e7c043d92deb1,C15:K:1050,knowledge,nearest_ancestor,"{""x"":176.5,""y"":61.25,""width"":339.0,""height"":117.0}"
C15:IMG:1853,C15,数据挖掘,1853,rId41,media/image41.png,media/C15/1853_image41.png,110711,0333997f1d4ce6cb93068f94e496bd2cf4d728f0849acb47220b1749407b2fff,C15:K:1074,knowledge,nearest_ancestor,"{""x"":137.0,""y"":79.25,""width"":260.0,""height"":153.0}"
C15:IMG:1854,C15,数据挖掘,1854,rId42,media/image42.png,media/C15/1854_image42.png,93364,ddb0cfc22e367348b33e3d8e65ae3e005ad0ec0fbdd0108c7ab97eef06ebcb5d,C15:K:1082,knowledge,nearest_ancestor,"{""x"":148.5,""y"":73.25,""width"":283.0,""height"":141.0}"
C15:IMG:1855,C15,数据挖掘,1855,rId43,media/image43.png,media/C15/1855_image43.png,36263,5e3f5cf47c4e8e15217245b8ac41993c999908e9bd3a47db62ba80c8e4bd0fb1,C15:K:1104,knowledge,nearest_ancestor,"{""x"":173.5,""y"":62.75,""width"":333.0,""height"":120.0}"
C15:IMG:1856,C15,数据挖掘,1856,rId44,media/image44.png,media/C15/1856_image44.png,8069,404bcd702f1de52344c1252b3de286d3ebdfbbca375c25ac92d6d2984070d8d6,C15:K:1108,knowledge,nearest_ancestor,"{""x"":82.5,""y"":35.25,""width"":151.0,""height"":65.0}"
C15:IMG:1857,C15,数据挖掘,1857,rId45,media/image45.png,media/C15/1857_image45.png,14006,7c74bd19f33fdcc6fda211e5dd9cb825161950027f13273ead8dea1e3b49d1f9,C15:K:1114,knowledge,nearest_ancestor,"{""x"":123.5,""y"":26.25,""width"":233.0,""height"":47.0}"
C15:IMG:1858,C15,数据挖掘,1858,rId46,media/image46.png,media/C15/1858_image46.png,22722,4a8c60843d8edc5f5234a4e0b586d73fdc463716a1edd06bb1e4690bc1e33f62,C15:K:1120,knowledge,nearest_ancestor,"{""x"":144.5,""y"":46.75,""width"":275.0,""height"":88.0}"
C15:IMG:1859,C15,数据挖掘,1859,rId47,media/image47.png,media/C15/1859_image47.png,20074,fa89d54cec34ed1844f5bf9011de64fe37c0ce7ab69d1f8aded765b98cdfc26c,C15:K:1124,knowledge,nearest_ancestor,"{""x"":176.5,""y"":34.75,""width"":339.0,""height"":64.0}"
